t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-1.593500018119812,-2.275599956512451,-1.1858805418014526,-0.3146751821041107,1.5707000494003296,3.1414999961853027
0.002,-1.593500018119812,-2.275599956512451,-1.1778221130371094,-0.3052503764629364,1.5707000494003296,3.1414999961853027
0.004,-1.593500018119812,-2.275599956512451,-1.168397307395935,-0.2958255708217621,1.5707000494003296,3.1414999961853027
0.006,-1.593500018119812,-2.275599956512451,-1.166783332824707,-0.28646641969680786,1.5707000494003296,3.1414999961853027
0.008,-1.593500018119812,-2.275599956512451,-1.1573585271835327,-0.27704161405563354,1.5707000494003296,3.1414999961853027
0.01,-1.593500018119812,-2.275599956512451,-1.1573585271835327,-0.27126485109329224,1.5707000494003296,3.1414999961853027
0.012,-1.593500018119812,-2.275599956512451,-1.1573585271835327,-0.26532426476478577,1.5707000494003296,3.1414999961853027
0.014,-1.593500018119812,-2.2739341259002686,-1.1479337215423584,-0.257955938577652,1.5707000494003296,3.1414999961853027
0.016,-1.593500018119812,-2.2739341259002686,-1.138508915901184,-0.24948079884052277,1.5707000494003296,3.1414999961853027
0.018000000000000002,-1.593500018119812,-2.2739341259002686,-1.1290841102600098,-0.24271000921726227,1.5707000494003296,3.1414999961853027
0.02,-1.593500018119812,-2.2739341259002686,-1.1290841102600098,-0.23328520357608795,1.5707000494003296,3.1414999961853027
0.022,-1.593500018119812,-2.2739341259002686,-1.124839425086975,-0.23328520357608795,1.5707000494003296,3.1414999961853027
0.024,-1.593500018119812,-2.2739341259002686,-1.1154146194458008,-0.22914618253707886,1.5707000494003296,3.1414999961853027
0.026000000000000002,-1.593500018119812,-2.2739341259002686,-1.1059898138046265,-0.228310227394104,1.5707000494003296,3.1414999961853027
0.028,-1.593500018119812,-2.2670629024505615,-1.0965650081634521,-0.2188854217529297,1.5707000494003296,3.1414999961853027
0.03,-1.593500018119812,-2.2670629024505615,-1.0871402025222778,-0.20946061611175537,1.5707000494003296,3.1414999961853027
0.032,-1.593500018119812,-2.261744976043701,-1.0871402025222778,-0.20003581047058105,1.5707000494003296,3.1414999961853027
0.034,-1.593500018119812,-2.260406494140625,-1.0777153968811035,-0.1957099735736847,1.5707000494003296,3.1414999961853027
0.036000000000000004,-1.593500018119812,-2.260406494140625,-1.0718650817871094,-0.18888647854328156,1.5707000494003296,3.1414999961853027
