/media/hkou/UBUNTU 24_0/20260228t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-1.593500018119812,-2.275599956512451,-1.1885191202163696,-0.32409998774528503,1.7070000171661377,3.023400068283081
0.002,-1.593500018119812,-2.275599956512451,-1.188209891319275,-0.3233146071434021,1.7070000171661377,3.023400068283081
0.004,-1.593500018119812,-2.2754547595977783,-1.1850682497024536,-0.3233146071434021,1.7070000171661377,3.023400068283081
0.006,-1.593500018119812,-2.2754547595977783,-1.1825613975524902,-0.3213518559932709,1.7070000171661377,3.023400068283081
0.008,-1.593500018119812,-2.27368426322937,-1.1809360980987549,-0.31984901428222656,1.7070000171661377,3.023400068283081
0.01,-1.593500018119812,-2.27368426322937,-1.180117130279541,-0.31984901428222656,1.7070000171661377,3.023400068283081
0.012,-1.593500018119812,-2.271956205368042,-1.1769754886627197,-0.31984901428222656,1.7070000171661377,3.023400068283081
0.014,-1.593500018119812,-2.2706849575042725,-1.1754400730133057,-0.31984901428222656,1.7070000171661377,3.023400068283081
0.016,-1.593500018119812,-2.2706849575042725,-1.1743617057800293,-0.31984901428222656,1.7070000171661377,3.023400068283081
0.018000000000000002,-1.593500018119812,-2.26949143409729,-1.17246413230896,-0.3178662359714508,1.7070000171661377,3.023400068283081
0.02,-1.593500018119812,-2.26949143409729,-1.1693224906921387,-0.3178662359714508,1.7070000171661377,3.023400068283081
0.022,-1.593500018119812,-2.26949143409729,-1.1693224906921387,-0.3147246241569519,1.7070000171661377,3.023400068283081
0.024,-1.593500018119812,-2.26949143409729,-1.1671911478042603,-0.3147246241569519,1.7070000171661377,3.023400068283081
0.026000000000000002,-1.593500018119812,-2.2692296504974365,-1.1658728122711182,-0.3147246241569519,1.7070000171661377,3.023400068283081
0.028,-1.593500018119812,-2.2692296504974365,-1.1627311706542969,-0.3147246241569519,1.7070000171661377,3.023400068283081
0.03,-1.593500018119812,-2.269089460372925,-1.1627311706542969,-0.3147246241569519,1.7070000171661377,3.023400068283081
0.032,-1.593500018119812,-2.269089460372925,-1.1620913743972778,-0.311583012342453,1.7070000171661377,3.023400068283081
0.034,-1.593500018119812,-2.269089460372925,-1.161224126815796,-0.3087420165538788,1.7070000171661377,3.023400068283081
0.036000000000000004,-1.593500018119812,-2.269089460372925,-1.1580824851989746,-0.3087420165538788,1.7070000171661377,3.023400068283081
0.038,-1.593500018119812,-2.269089460372925,-1.155618667602539,-0.3085092008113861,1.7070000171661377,3.023400068283081
0.04,-1.593500018119812,-2.269089460372925,-1.1528446674346924,-0.3085092008113861,1.7070000171661377,3.023400068283081
0.042,-1.593500018119812,-2.269089460372925,-1.149703025817871,-0.30689337849617004,1.7070000171661377,3.023400068283081
0.044,-1.593500018119812,-2.269089460372925,-1.1465613842010498,-0.30689337849617004,1.7070000171661377,3.023400068283081
0.046,-1.593500018119812,-2.269089460372925,-1.1442428827285767,-0.30689337849617004,1.7070000171661377,3.023400068283081
0.048,-1.593500018119812,-2.269089460372925,-1.1434835195541382,-0.30404549837112427,1.7070000171661377,3.023400068283081
0.05,-1.593500018119812,-2.269089460372925,-1.1403881311416626,-0.30262768268585205,1.7070000171661377,3.023400068283081
0.052000000000000005,-1.593500018119812,-2.269089460372925,-1.1372464895248413,-0.30260249972343445,1.7070000171661377,3.023400068283081
0.054,-1.593500018119812,-2.269089460372925,-1.1372464895248413,-0.30099016427993774,1.7070000171661377,3.023400068283081
0.056,-1.593500018119812,-2.269089460372925,-1.1372464895248413,-0.30099016427993774,1.7070000171661377,3.023400068283081
0.058,-1.593500018119812,-2.269089460372925,-1.1346993446350098,-0.30099016427993774,1.7070000171661377,3.023400068283081
0.06,-1.593500018119812,-2.269089460372925,-1.133642315864563,-0.29832831025123596,1.7070000171661377,3.023400068283081
0.062,-1.593500018119812,-2.269089460372925,-1.133642315864563,-0.29832831025123596,1.7070000171661377,3.023400068283081
0.064,-1.593500018119812,-2.269089460372925,-1.1310862302780151,-0.29832831025123596,1.7070000171661377,3.023400068283081
0.066,-1.593500018119812,-2.269089460372925,-1.1298617124557495,-0.29832831025123596,1.7070000171661377,3.023400068283081
0.068,-1.593500018119812,-2.269089460372925,-1.1267644166946411,-0.29832831025123596,1.7070000171661377,3.023400068283081
0.07,-1.593500018119812,-2.269089460372925,-1.12472403049469,-0.29518669843673706,1.7070000171661377,3.023400068283081
0.07200000000000001,-1.593500018119812,-2.267181873321533,-1.123112440109253,-0.29204508662223816,1.7070000171661377,3.023400068283081
0.074,-1.593500018119812,-2.267181873321533,-1.123112440109253,-0.29204508662223816,1.7070000171661377,3.023400068283081
0.076,-1.593500018119812,-2.264040231704712,-1.1206918954849243,-0.291981041431427,1.7070000171661377,3.023400068283081
0.078,-1.593500018119812,-2.264040231704712,-1.1206918954849243,-0.291981041431427,1.7070000171661377,3.023400068283081
0.08,-1.593500018119812,-2.2608985900878906,-1.117550253868103,-0.2892420291900635,1.7070000171661377,3.023400068283081
0.082,-1.593500018119812,-2.2608985900878906,-1.117550253868103,-0.2886333465576172,1.7070000171661377,3.023400068283081
