t,tip_x,tip_y,tip_z,target_x,target_y,target_z
0.0,0.3937228468423112,0.4214086302084142,0.07322886660450796,0.0,2.0,1.9
0.0020000000000000018,0.3937253258919452,0.42140867644741936,0.07294577901173989,0.0,2.0,1.9
0.0040000000000000036,0.3937278015641677,0.4214087226234301,0.07262417853359117,0.0,2.0,1.9
0.006000000000000005,0.39373027186443993,0.4214087686992431,0.07226110435553963,0.0,2.0,1.9
0.008000000000000007,0.39373273601215286,0.4214088146602989,0.07185527696900403,0.0,2.0,1.9
0.010000000000000009,0.3937351940998062,0.4214088605083244,0.07140663511347203,0.0,2.0,1.9
0.01200000000000001,0.39373764654210364,0.42140890625105193,0.07091558229309136,0.0,2.0,1.9
0.014000000000000012,0.39374009431215284,0.4214089519066331,0.07038333988575794,0.0,2.0,1.9
0.016000000000000014,0.3937425394198457,0.42140899751255617,0.06981263640002605,0.0,2.0,1.9
0.018000000000000016,0.39374498444543576,0.42140904311694777,0.06920705095027291,0.0,2.0,1.9
0.020000000000000018,0.3937474311474721,0.42140908875260863,0.06856903165595785,0.0,2.0,1.9
0.02200000000000002,0.39374987960260643,0.4214091344209685,0.06789865710534404,0.0,2.0,1.9
0.02400000000000002,0.39375232899776363,0.42140918010686057,0.06719474644493988,0.0,2.0,1.9
0.026000000000000023,0.393754779371788,0.4214092258110108,0.06645733529315956,0.0,2.0,1.9
0.028000000000000025,0.3937572325523033,0.42140927156750707,0.0656890228219272,0.0,2.0,1.9
0.030000000000000027,0.3937596915666302,0.42140931743281623,0.06489414956957218,0.0,2.0,1.9
0.03200000000000003,0.39376215957624355,0.42140936346590235,0.064077290319186,0.0,2.0,1.9
0.03400000000000003,0.3937646396487574,0.42140940972398655,0.06324293631856409,0.0,2.0,1.9
0.03600000000000003,0.39376713522285545,0.42140945627120513,0.06239619571687965,0.0,2.0,1.9
0.038000000000000034,0.393769650144606,0.42140950317929377,0.06154279379128165,0.0,2.0,1.9
0.040000000000000036,0.3937721877824576,0.42140955051108114,0.060687782654899915,0.0,2.0,1.9
0.04200000000000004,0.39377475032214804,0.4214095983073361,0.059834535150681156,0.0,2.0,1.9
0.04400000000000004,0.3937773393715274,0.42140964659804736,0.05898561195746714,0.0,2.0,1.9
0.04600000000000004,0.3937799572556614,0.4214096954265812,0.05814463021218595,0.0,2.0,1.9
0.04800000000000004,0.39378260727214376,0.4214097448544438,0.05731663446506623,0.0,2.0,1.9
0.050000000000000044,0.39378529241073285,0.421409794937401,0.05650624129053753,0.0,2.0,1.9
0.052000000000000046,0.39378801429177857,0.4214098457056753,0.055716095606810574,0.0,2.0,1.9
0.05400000000000005,0.3937907744283454,0.42140989718748784,0.05494871003162186,0.0,2.0,1.9
0.05600000000000005,0.3937935777011507,0.4214099494738743,0.05421155673422088,0.0,2.0,1.9
0.05800000000000005,0.393796435824402,0.42141000278332635,0.0535221996813841,0.0,2.0,1.9
0.06000000000000005,0.39379936924010883,0.421410057497126,0.052911191345967036,0.0,2.0,1.9
0.062000000000000055,0.39380240833341545,0.421410114182014,0.05242402990903039,0.0,2.0,1.9
0.06400000000000006,0.39380559548468047,0.4214101736284651,0.05212439231395626,0.0,2.0,1.9
0.06600000000000006,0.3938089868097272,0.4214102368831474,0.05209691025334473,0.0,2.0,1.9
0.06800000000000006,0.3938126494146082,0.4214103051977159,0.05244346579919322,0.0,2.0,1.9
0.07000000000000006,0.3938166512961818,0.4214103798404429,0.053268520721417696,0.0,2.0,1.9
0.07200000000000006,0.3938210458468938,0.421410461807201,0.05465618545603703,0.0,2.0,1.9
0.07400000000000007,0.39382585681605997,0.42141055154096657,0.056647562617569654,0.0,2.0,1.9
0.07600000000000007,0.39383106873836593,0.42141064875329753,0.059225706048356634,0.0,2.0,1.9
0.07800000000000007,0.3938366235962201,0.42141075236209513,0.062309414848137915,0.0,2.0,1.9
0.08000000000000007,0.39384242182008883,0.4214108605102753,0.0657532331932125,0.0,2.0,1.9
0.08200000000000007,0.39384832776086526,0.4214109706678516,0.06935416472498337,0.0,2.0,1.9
0.08400000000000007,0.3938541847707228,0.4214110799132057,0.07287334817550425,0.0,2.0,1.9
0.08600000000000008,0.3938598472494703,0.4214111855307601,0.07608461762268344,0.0,2.0,1.9
0.08800000000000008,0.3938652295180011,0.4214112859225093,0.07885050780163551,0.0,2.0,1.9
0.09000000000000008,0.3938703521778886,0.4214113814727826,0.08119615559785288,0.0,2.0,1.9
0.09200000000000008,0.39387535009532115,0.4214114746974968,0.08332485664300511,0.0,2.0,1.9
0.09400000000000008,0.39388042004717433,0.42141156926837836,0.08553969366382082,0.0,2.0,1.9
0.09600000000000009,0.39388573203736,0.42141166836010535,0.08810709483008503,0.0,2.0,1.9
0.09800000000000009,0.3938913615471356,0.42141177338866975,0.09115065520813957,0.0,2.0,1.9
0.10000000000000009,0.3938972834055751,0.4214118838998869,0.09463896145439347,0.0,2.0,1.9
0.10200000000000009,0.39390341765355447,0.4214119984281418,0.09845403591852205,0.0,2.0,1.9
