t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-3.1415927410125732,-1.5707963705062866,-1.5707963705062866,-3.1321680545806885,3.151017427444458,3.1415927410125732
0.002,-3.1415927410125732,-1.5707963705062866,-1.5707963705062866,-3.1321680545806885,3.1604421138763428,3.1415927410125732
0.004,-3.1415927410125732,-1.5707963705062866,-1.5707963705062866,-3.1227433681488037,3.1698668003082275,3.1415927410125732
0.006,-3.1415927410125732,-1.5707963705062866,-1.5707963705062866,-3.113318681716919,3.1759424209594727,3.1415927410125732
0.008,-3.1415927410125732,-1.5707963705062866,-1.5631790161132812,-3.1056735515594482,3.1810364723205566,3.1415927410125732
0.01,-3.1415927410125732,-1.5707963705062866,-1.5631790161132812,-3.098944664001465,3.1904611587524414,3.1415927410125732
0.012,-3.1415927410125732,-1.5707963705062866,-1.5631790161132812,-3.0895321369171143,3.199885845184326,3.1415927410125732
0.014,-3.1415927410125732,-1.5707963705062866,-1.5550435781478882,-3.0831522941589355,3.209310531616211,3.1415927410125732
0.016,-3.1415927410125732,-1.5707963705062866,-1.5550435781478882,-3.074101209640503,3.209310531616211,3.1415927410125732
0.018000000000000002,-3.1415927410125732,-1.5707963705062866,-1.551554799079895,-3.0692858695983887,3.2139298915863037,3.1415927410125732
0.02,-3.1415927410125732,-1.5707963705062866,-1.548507809638977,-3.0629844665527344,3.2139298915863037,3.1415927410125732
0.022,-3.1415927410125732,-1.5707963705062866,-1.548507809638977,-3.0535597801208496,3.2233545780181885,3.1415927410125732
0.024,-3.1415927410125732,-1.5707963705062866,-1.548507809638977,-3.044135093688965,3.2327792644500732,3.1415927410125732
0.026000000000000002,-3.1415927410125732,-1.5707963705062866,-1.5441861152648926,-3.038861036300659,3.242203950881958,3.1415927410125732
0.028,-3.1415927410125732,-1.5707963705062866,-1.5347613096237183,-3.0294363498687744,3.245687484741211,3.1415927410125732
0.03,-3.1415927410125732,-1.5707963705062866,-1.5347613096237183,-3.0200116634368896,3.245687484741211,3.1415927410125732
0.032,-3.1415927410125732,-1.5707963705062866,-1.5300699472427368,-3.011049509048462,3.251175880432129,3.1415927410125732
