t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-1.593500018119812,-2.275599956512451,-1.181875228881836,-0.3146751821041107,1.5707000494003296,3.1414999961853027
0.002,-1.593500018119812,-2.2661752700805664,-1.1724504232406616,-0.30794844031333923,1.5707000494003296,3.1414999961853027
0.004,-1.593500018119812,-2.259045124053955,-1.168777346611023,-0.2985236346721649,1.5707000494003296,3.1414999961853027
0.006,-1.593500018119812,-2.2516517639160156,-1.1650625467300415,-0.2918922007083893,1.5707000494003296,3.1414999961853027
0.008,-1.593500018119812,-2.242227077484131,-1.1556377410888672,-0.28246739506721497,1.5707000494003296,3.1414999961853027
0.01,-1.593500018119812,-2.232802391052246,-1.1462129354476929,-0.27695363759994507,1.5707000494003296,3.1414999961853027
0.012,-1.593500018119812,-2.2233777046203613,-1.1367881298065186,-0.27695363759994507,1.5707000494003296,3.1414999961853027
0.014,-1.593500018119812,-2.2219340801239014,-1.1287469863891602,-0.27098655700683594,1.5707000494003296,3.1414999961853027
0.016,-1.593500018119812,-2.2125093936920166,-1.120036005973816,-0.27098655700683594,1.5707000494003296,3.1414999961853027
0.018000000000000002,-1.593500018119812,-2.203084707260132,-1.1121100187301636,-0.2700240910053253,1.5707000494003296,3.1414999961853027
0.02,-1.593500018119812,-2.2027738094329834,-1.1026852130889893,-0.2628282904624939,1.5707000494003296,3.1414999961853027
0.022,-1.593500018119812,-2.19450306892395,-1.095550537109375,-0.2615382671356201,1.5707000494003296,3.1414999961853027
0.024,-1.593500018119812,-2.191779375076294,-1.0861257314682007,-0.26015371084213257,1.5707000494003296,3.1414999961853027
0.026000000000000002,-1.593500018119812,-2.190358877182007,-1.080897569656372,-0.25072890520095825,1.5707000494003296,3.1414999961853027
0.028,-1.593500018119812,-2.185814142227173,-1.0714727640151978,-0.24386166036128998,1.5707000494003296,3.1414999961853027
0.03,-1.593500018119812,-2.176389455795288,-1.0714727640151978,-0.23640261590480804,1.5707000494003296,3.1414999961853027
0.032,-1.593500018119812,-2.167093276977539,-1.0625576972961426,-0.228418231010437,1.5707000494003296,3.1414999961853027
0.034,-1.593500018119812,-2.1576685905456543,-1.0531328916549683,-0.22484660148620605,1.5707000494003296,3.1414999961853027
0.036000000000000004,-1.593500018119812,-2.1498465538024902,-1.043708086013794,-0.2172333151102066,1.5707000494003296,3.1414999961853027
0.038,-1.593500018119812,-2.1404218673706055,-1.0342832803726196,-0.21044303476810455,1.5707000494003296,3.1414999961853027
0.04,-1.593500018119812,-2.131110668182373,-1.0248584747314453,-0.20101822912693024,1.5707000494003296,3.1414999961853027
0.042,-1.593500018119812,-2.1287729740142822,-1.015433669090271,-0.19159342348575592,1.5707000494003296,3.1414999961853027
0.044,-1.593500018119812,-2.1193482875823975,-1.0060088634490967,-0.18235903978347778,1.5707000494003296,3.1414999961853027
0.046,-1.593500018119812,-2.1099236011505127,-1.0013948678970337,-0.17293423414230347,1.5707000494003296,3.1414999961853027
0.048,-1.593500018119812,-2.100498914718628,-0.9919700622558594,-0.16350942850112915,1.5707000494003296,3.1414999961853027
