t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-1.593500018119812,-2.275599956512451,-1.1898181438446045,-0.3184972405433655,1.7070000171661377,3.1414999961853027
0.002,-1.593500018119812,-2.2728326320648193,-1.1888706684112549,-0.3184972405433655,1.7070000171661377,3.1414999961853027
0.004,-1.593500018119812,-2.2728326320648193,-1.1832066774368286,-0.31684327125549316,1.7070000171661377,3.1414999961853027
0.006,-1.593500018119812,-2.2634079456329346,-1.1832066774368286,-0.31684327125549316,1.7070000171661377,3.1414999961853027
0.008,-1.593500018119812,-2.25398325920105,-1.1832066774368286,-0.310782790184021,1.7070000171661377,3.1414999961853027
0.01,-1.593500018119812,-2.25398325920105,-1.178656816482544,-0.3013579845428467,1.7070000171661377,3.1414999961853027
0.012,-1.593500018119812,-2.25398325920105,-1.178656816482544,-0.29193317890167236,1.7070000171661377,3.1414999961853027
0.014,-1.593500018119812,-2.25398325920105,-1.178656816482544,-0.2829750180244446,1.7070000171661377,3.1414999961853027
0.016,-1.593500018119812,-2.25398325920105,-1.178656816482544,-0.2829750180244446,1.7070000171661377,3.1414999961853027
0.018000000000000002,-1.593500018119812,-2.25398325920105,-1.178656816482544,-0.2829750180244446,1.7070000171661377,3.1414999961853027
0.02,-1.593500018119812,-2.25398325920105,-1.178656816482544,-0.28116944432258606,1.7070000171661377,3.1414999961853027
0.022,-1.593500018119812,-2.251368999481201,-1.178656816482544,-0.27174463868141174,1.7070000171661377,3.1414999961853027
0.024,-1.593500018119812,-2.251368999481201,-1.178656816482544,-0.26466068625450134,1.7070000171661377,3.1414999961853027
0.026000000000000002,-1.593500018119812,-2.251368999481201,-1.178656816482544,-0.26106682419776917,1.7070000171661377,3.1414999961853027
0.028,-1.593500018119812,-2.25039005279541,-1.1725106239318848,-0.2588758170604706,1.7070000171661377,3.1414999961853027
0.03,-1.593500018119812,-2.25039005279541,-1.1713447570800781,-0.24945101141929626,1.7070000171661377,3.1414999961853027
0.032,-1.593500018119812,-2.25039005279541,-1.1713447570800781,-0.24170148372650146,1.7070000171661377,3.1414999961853027
0.034,-1.593500018119812,-2.249389410018921,-1.1713447570800781,-0.24170148372650146,1.7070000171661377,3.1414999961853027
0.036000000000000004,-1.593500018119812,-2.249389410018921,-1.1713447570800781,-0.23571692407131195,1.7070000171661377,3.1414999961853027
0.038,-1.593500018119812,-2.2485930919647217,-1.1713447570800781,-0.23167869448661804,1.7070000171661377,3.1414999961853027
0.04,-1.593500018119812,-2.2468574047088623,-1.1713447570800781,-0.22225388884544373,1.7070000171661377,3.1414999961853027
0.042,-1.593500018119812,-2.2468574047088623,-1.1625081300735474,-0.21640625596046448,1.7070000171661377,3.1414999961853027
0.044,-1.593500018119812,-2.2436792850494385,-1.1625081300735474,-0.21417918801307678,1.7070000171661377,3.1414999961853027
0.046,-1.593500018119812,-2.2436792850494385,-1.1625081300735474,-0.21417918801307678,1.7070000171661377,3.1414999961853027
0.048,-1.593500018119812,-2.235504388809204,-1.1568679809570312,-0.2137289047241211,1.7070000171661377,3.1414999961853027
0.05,-1.593500018119812,-2.235504388809204,-1.1568679809570312,-0.20430409908294678,1.7070000171661377,3.1414999961853027
